 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, rowcost
D lydian (2#), 3:0:0:0:1, 2:1:0:0:0, 3:0:1:0:3, 2:0:0:0:1, 4:0:0:0:2, 4:0:0:0:2, 4:1:0:0:1, 2:0:0:0:1, 3:1:0:0:0, 2:1:0:0:0, 3:0:1:0:3, 2:0:0:0:1, 4:0:0:0:2, 4:0:0:0:2, 1:1:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 1:0:0:0:1, 2:1:0:0:0, 2:0:0:0:0, 1:0:0:0:1, 3:1:0:0:1, 3:0:0:0:1, 3:0:0:0:1, 2:1:0:0:0, 3:0:1:0:3, 2:0:0:0:1, 4:0:0:0:2, 4:0:0:0:2, 4:1:0:0:1, 2:0:0:0:0, 2:0:0:0:1, 4:1:0:0:0, 3:2:1:0:2, 5:1:0:0:1, 4:3:0:0:1, 2:0:0:0:1,  ,  , 3:0:1:0:3, 4:1:0:0:0, 4:0:1:0:3, 5:1:0:0:1, 5:1:1:0:2, 4:0:1:0:3, 3:1:1:0:1, 0:0:0:0:0, 1:0:0:0:0,  , 3:0:1:0:1, 2:0:0:0:1, 2:0:0:0:1, 5:1:1:0:2, 3:1:0:0:0, 3:2:0:0:0, 3:1:0:0:0,  , 2:0:1:0:2, 5:2:0:0:2, 3:2:0:0:1, 4:0:1:0:3, 3:1:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 172:30:13:0:65
Bb mixolydian (2b), 0:0:0:0:0, 0:0:0:0:0, 1:1:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:1:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 2:1:0:0:1, 2:0:1:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:1:0:1, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:1:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 2:0:0:0:0, 2:0:1:0:1, 2:0:0:0:0, 0:0:0:0:0,  ,  , 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 3:0:0:0:0, 1:0:0:0:0, 1:1:0:0:1, 1:0:0:0:0, 3:1:0:0:2,  , 3:1:0:0:1, 1:0:1:0:0, 1:0:0:0:0, 3:0:0:0:0, 3:0:1:0:0, 0:0:0:0:0, 0:0:0:0:0,  , 1:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 53:7:5:0:11
D mixolydian (2#), 3:0:0:0:1, 2:1:0:0:0, 3:0:1:0:3, 2:0:0:0:1, 4:0:0:0:2, 4:0:0:0:2, 4:1:0:0:1, 2:0:0:0:1, 3:1:0:0:0, 2:1:0:0:0, 3:0:1:0:3, 2:0:0:0:1, 4:0:0:0:2, 4:0:0:0:2, 1:1:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 1:0:0:0:1, 2:1:0:0:0, 2:0:0:0:0, 1:0:0:0:1, 3:1:0:0:1, 3:0:0:0:1, 3:0:0:0:1, 2:1:0:0:0, 3:0:1:0:3, 2:0:0:0:1, 4:0:0:0:2, 4:0:0:0:2, 4:1:0:0:1, 2:0:0:0:0, 2:0:0:0:1, 4:1:0:0:0, 3:2:1:0:2, 5:1:0:0:1, 4:3:0:0:1, 2:0:0:0:1,  ,  , 3:0:1:0:3, 4:1:0:0:0, 4:0:1:0:3, 5:1:0:0:1, 5:1:1:0:2, 4:0:1:0:3, 3:1:1:0:1, 0:0:0:0:0, 1:0:0:0:0,  , 3:0:1:0:1, 2:0:0:0:1, 2:0:0:0:1, 5:1:1:0:2, 3:1:0:0:0, 3:2:0:0:0, 3:1:0:0:0,  , 2:0:1:0:2, 5:2:0:0:2, 3:2:0:0:1, 4:0:1:0:3, 3:1:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 172:30:13:0:65
Bb aeolian (2b), 0:0:0:0:0, 0:0:0:0:0, 1:1:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:1:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 2:1:0:0:1, 2:0:1:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:1:0:1, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:1:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 2:0:0:0:0, 2:0:1:0:1, 2:0:0:0:0, 0:0:0:0:0,  ,  , 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 3:0:0:0:0, 1:0:0:0:0, 1:1:0:0:1, 1:0:0:0:0, 3:1:0:0:2,  , 3:1:0:0:1, 1:0:1:0:0, 1:0:0:0:0, 3:0:0:0:0, 3:0:1:0:0, 0:0:0:0:0, 0:0:0:0:0,  , 1:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 53:7:5:0:11
D aeolian (2#), 3:0:0:0:1, 2:1:0:0:0, 3:0:1:0:3, 2:0:0:0:1, 4:0:0:0:2, 4:0:0:0:2, 4:1:0:0:1, 2:0:0:0:1, 3:1:0:0:0, 2:1:0:0:0, 3:0:1:0:3, 2:0:0:0:1, 4:0:0:0:2, 4:0:0:0:2, 1:1:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 1:0:0:0:1, 2:1:0:0:0, 2:0:0:0:0, 1:0:0:0:1, 3:1:0:0:1, 3:0:0:0:1, 3:0:0:0:1, 2:1:0:0:0, 3:0:1:0:3, 2:0:0:0:1, 4:0:0:0:2, 4:0:0:0:2, 4:1:0:0:1, 2:0:0:0:0, 2:0:0:0:1, 4:1:0:0:0, 3:2:1:0:2, 5:1:0:0:1, 4:3:0:0:1, 2:0:0:0:1,  ,  , 3:0:1:0:3, 4:1:0:0:0, 4:0:1:0:3, 5:1:0:0:1, 5:1:1:0:2, 4:0:1:0:3, 3:1:1:0:1, 0:0:0:0:0, 1:0:0:0:0,  , 3:0:1:0:1, 2:0:0:0:1, 2:0:0:0:1, 5:1:1:0:2, 3:1:0:0:0, 3:2:0:0:0, 3:1:0:0:0,  , 2:0:1:0:2, 5:2:0:0:2, 3:2:0:0:1, 4:0:1:0:3, 3:1:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 172:30:13:0:65
Bb locrian (2b), 0:0:0:0:0, 0:0:0:0:0, 1:1:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:1:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 2:1:0:0:1, 2:0:1:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:1:0:1, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:1:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 2:0:0:0:0, 2:0:1:0:1, 2:0:0:0:0, 0:0:0:0:0,  ,  , 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 3:0:0:0:0, 1:0:0:0:0, 1:1:0:0:1, 1:0:0:0:0, 3:1:0:0:2,  , 3:1:0:0:1, 1:0:1:0:0, 1:0:0:0:0, 3:0:0:0:0, 3:0:1:0:0, 0:0:0:0:0, 0:0:0:0:0,  , 1:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 53:7:5:0:11
D locrian (2#), 3:0:0:0:1, 2:1:0:0:0, 3:0:1:0:3, 2:0:0:0:1, 4:0:0:0:2, 4:0:0:0:2, 4:1:0:0:1, 2:0:0:0:1, 3:1:0:0:0, 2:1:0:0:0, 3:0:1:0:3, 2:0:0:0:1, 4:0:0:0:2, 4:0:0:0:2, 1:1:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 1:0:0:0:1, 2:1:0:0:0, 2:0:0:0:0, 1:0:0:0:1, 3:1:0:0:1, 3:0:0:0:1, 3:0:0:0:1, 2:1:0:0:0, 3:0:1:0:3, 2:0:0:0:1, 4:0:0:0:2, 4:0:0:0:2, 4:1:0:0:1, 2:0:0:0:0, 2:0:0:0:1, 4:1:0:0:0, 3:2:1:0:2, 5:1:0:0:1, 4:3:0:0:1, 2:0:0:0:1,  ,  , 3:0:1:0:3, 4:1:0:0:0, 4:0:1:0:3, 5:1:0:0:1, 5:1:1:0:2, 4:0:1:0:3, 3:1:1:0:1, 0:0:0:0:0, 1:0:0:0:0,  , 3:0:1:0:1, 2:0:0:0:1, 2:0:0:0:1, 5:1:1:0:2, 3:1:0:0:0, 3:2:0:0:0, 3:1:0:0:0,  , 2:0:1:0:2, 5:2:0:0:2, 3:2:0:0:1, 4:0:1:0:3, 3:1:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 172:30:13:0:65
Eb major (3b), 1:0:0:0:0, 1:0:0:0:0, 2:1:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:1:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 3:0:0:0:1, 2:0:0:0:1, 3:0:1:0:1, 1:0:0:0:0, 1:0:0:0:1, 1:0:1:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:1:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 3:0:0:0:0, 2:0:1:0:0, 1:0:0:0:0, 0:0:0:0:0,  ,  , 2:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 3:0:0:0:1, 2:0:0:0:0, 1:0:0:0:0, 1:1:0:0:1, 1:0:0:0:1, 4:1:0:0:3,  , 3:1:0:0:2, 1:0:1:0:0, 2:0:0:0:1, 4:0:0:0:1, 4:0:1:0:0, 1:0:0:0:0, 1:0:0:0:0,  , 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 0:0:0:0:0, 80:6:5:0:21
A major (3#), 4:0:0:0:1, 3:1:0:0:0, 4:0:1:0:2, 2:0:0:0:1, 5:0:0:0:1, 5:0:0:0:1, 4:1:0:0:2, 2:0:0:0:1, 4:1:0:0:0, 3:1:0:0:0, 4:0:1:0:2, 2:0:0:0:1, 5:0:0:0:1, 5:0:0:0:1, 2:1:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 3:1:0:0:1, 3:0:0:0:0, 2:0:0:0:0, 3:1:0:0:2, 3:0:0:0:1, 4:0:0:0:1, 3:1:0:0:0, 4:0:1:0:2, 2:0:0:0:1, 5:0:0:0:1, 5:0:0:0:1, 4:1:0:0:2, 2:0:0:0:0, 2:0:0:0:1, 4:1:0:0:0, 3:1:1:0:1, 6:1:0:0:2, 5:3:0:0:2, 2:0:0:0:0,  ,  , 3:0:1:0:2, 5:1:0:0:0, 5:0:1:0:2, 5:1:0:0:0, 4:1:1:0:3, 5:0:1:0:2, 3:1:1:0:2, 0:0:0:0:0, 2:0:0:0:0,  , 4:0:1:0:1, 2:0:0:0:1, 3:0:0:0:1, 6:1:1:0:1, 2:1:0:0:0, 4:2:0:0:1, 3:1:0:0:0,  , 2:0:1:0:2, 5:1:0:0:2, 3:1:0:0:0, 5:0:1:0:2, 3:1:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 200:27:13:0:55
C minor (3b), 1:0:0:0:0, 1:0:0:0:0, 2:1:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:1:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 3:0:0:0:1, 2:0:0:0:1, 3:0:1:0:1, 1:0:0:0:0, 1:0:0:0:1, 1:0:1:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:1:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 3:0:0:0:0, 2:0:1:0:0, 1:0:0:0:0, 0:0:0:0:0,  ,  , 2:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 3:0:0:0:1, 2:0:0:0:0, 1:0:0:0:0, 1:1:0:0:1, 1:0:0:0:1, 4:1:0:0:3,  , 3:1:0:0:2, 1:0:1:0:0, 2:0:0:0:1, 4:0:0:0:1, 4:0:1:0:0, 1:0:0:0:0, 1:0:0:0:0,  , 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 0:0:0:0:0, 80:6:5:0:21
F# minor (3#), 4:0:0:0:1, 3:1:0:0:0, 4:0:1:0:2, 2:0:0:0:1, 5:0:0:0:1, 5:0:0:0:1, 4:1:0:0:2, 2:0:0:0:1, 4:1:0:0:0, 3:1:0:0:0, 4:0:1:0:2, 2:0:0:0:1, 5:0:0:0:1, 5:0:0:0:1, 2:1:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 3:1:0:0:1, 3:0:0:0:0, 2:0:0:0:0, 3:1:0:0:2, 3:0:0:0:1, 4:0:0:0:1, 3:1:0:0:0, 4:0:1:0:2, 2:0:0:0:1, 5:0:0:0:1, 5:0:0:0:1, 4:1:0:0:2, 2:0:0:0:0, 2:0:0:0:1, 4:1:0:0:0, 3:1:1:0:1, 6:1:0:0:2, 5:3:0:0:2, 2:0:0:0:0,  ,  , 3:0:1:0:2, 5:1:0:0:0, 5:0:1:0:2, 5:1:0:0:0, 4:1:1:0:3, 5:0:1:0:2, 3:1:1:0:2, 0:0:0:0:0, 2:0:0:0:0,  , 4:0:1:0:1, 2:0:0:0:1, 3:0:0:0:1, 6:1:1:0:1, 2:1:0:0:0, 4:2:0:0:1, 3:1:0:0:0,  , 2:0:1:0:2, 5:1:0:0:2, 3:1:0:0:0, 5:0:1:0:2, 3:1:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 200:27:13:0:55
C minor mel (3b), 1:0:0:0:0, 1:0:0:0:0, 2:1:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:1:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 3:0:0:0:1, 2:0:0:0:1, 3:0:1:0:1, 1:0:0:0:0, 1:0:0:0:1, 1:0:1:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:1:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 3:0:0:0:0, 2:0:1:0:0, 1:0:0:0:0, 0:0:0:0:0,  ,  , 2:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 3:0:0:0:1, 2:0:0:0:0, 1:0:0:0:0, 1:1:0:0:1, 1:0:0:0:1, 4:1:0:0:3,  , 3:1:0:0:2, 1:0:1:0:0, 2:0:0:0:1, 4:0:0:0:1, 4:0:1:0:0, 1:0:0:0:0, 1:0:0:0:0,  , 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 0:0:0:0:0, 80:6:5:0:21
F# minor mel (3#), 4:0:0:0:1, 3:1:0:0:0, 4:0:1:0:2, 2:0:0:0:1, 5:0:0:0:1, 5:0:0:0:1, 4:1:0:0:2, 2:0:0:0:1, 4:1:0:0:0, 3:1:0:0:0, 4:0:1:0:2, 2:0:0:0:1, 5:0:0:0:1, 5:0:0:0:1, 2:1:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 3:1:0:0:1, 3:0:0:0:0, 2:0:0:0:0, 3:1:0:0:2, 3:0:0:0:1, 4:0:0:0:1, 3:1:0:0:0, 4:0:1:0:2, 2:0:0:0:1, 5:0:0:0:1, 5:0:0:0:1, 4:1:0:0:2, 2:0:0:0:0, 2:0:0:0:1, 4:1:0:0:0, 3:1:1:0:1, 6:1:0:0:2, 5:3:0:0:2, 2:0:0:0:0,  ,  , 3:0:1:0:2, 5:1:0:0:0, 5:0:1:0:2, 5:1:0:0:0, 4:1:1:0:3, 5:0:1:0:2, 3:1:1:0:2, 0:0:0:0:0, 2:0:0:0:0,  , 4:0:1:0:1, 2:0:0:0:1, 3:0:0:0:1, 6:1:1:0:1, 2:1:0:0:0, 4:2:0:0:1, 3:1:0:0:0,  , 2:0:1:0:2, 5:1:0:0:2, 3:1:0:0:0, 5:0:1:0:2, 3:1:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 200:27:13:0:55
Eb major blues (3b), 1:0:0:0:0, 1:0:0:0:0, 2:1:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:1:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 3:0:0:0:1, 2:0:0:0:1, 3:0:1:0:1, 1:0:0:0:0, 1:0:0:0:1, 1:0:1:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:1:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 3:0:0:0:0, 2:0:1:0:0, 1:0:0:0:0, 0:0:0:0:0,  ,  , 2:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 3:0:0:0:1, 2:0:0:0:0, 1:0:0:0:0, 1:1:0:0:1, 1:0:0:0:1, 4:1:0:0:3,  , 3:1:0:0:2, 1:0:1:0:0, 2:0:0:0:1, 4:0:0:0:1, 4:0:1:0:0, 1:0:0:0:0, 1:0:0:0:0,  , 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 0:0:0:0:0, 80:6:5:0:21
A major blues (3#), 4:0:0:0:1, 3:1:0:0:0, 4:0:1:0:2, 2:0:0:0:1, 5:0:0:0:1, 5:0:0:0:1, 4:1:0:0:2, 2:0:0:0:1, 4:1:0:0:0, 3:1:0:0:0, 4:0:1:0:2, 2:0:0:0:1, 5:0:0:0:1, 5:0:0:0:1, 2:1:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 3:1:0:0:1, 3:0:0:0:0, 2:0:0:0:0, 3:1:0:0:2, 3:0:0:0:1, 4:0:0:0:1, 3:1:0:0:0, 4:0:1:0:2, 2:0:0:0:1, 5:0:0:0:1, 5:0:0:0:1, 4:1:0:0:2, 2:0:0:0:0, 2:0:0:0:1, 4:1:0:0:0, 3:1:1:0:1, 6:1:0:0:2, 5:3:0:0:2, 2:0:0:0:0,  ,  , 3:0:1:0:2, 5:1:0:0:0, 5:0:1:0:2, 5:1:0:0:0, 4:1:1:0:3, 5:0:1:0:2, 3:1:1:0:2, 0:0:0:0:0, 2:0:0:0:0,  , 4:0:1:0:1, 2:0:0:0:1, 3:0:0:0:1, 6:1:1:0:1, 2:1:0:0:0, 4:2:0:0:1, 3:1:0:0:0,  , 2:0:1:0:2, 5:1:0:0:2, 3:1:0:0:0, 5:0:1:0:2, 3:1:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 200:27:13:0:55
C minor blues (3b), 1:0:0:0:0, 1:0:0:0:0, 2:1:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:1:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 3:0:0:0:1, 2:0:0:0:1, 3:0:1:0:1, 1:0:0:0:0, 1:0:0:0:1, 1:0:1:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:1:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 3:0:0:0:0, 2:0:1:0:0, 1:0:0:0:0, 0:0:0:0:0,  ,  , 2:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 3:0:0:0:1, 2:0:0:0:0, 1:0:0:0:0, 1:1:0:0:1, 1:0:0:0:1, 4:1:0:0:3,  , 3:1:0:0:2, 1:0:1:0:0, 2:0:0:0:1, 4:0:0:0:1, 4:0:1:0:0, 1:0:0:0:0, 1:0:0:0:0,  , 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 0:0:0:0:0, 80:6:5:0:21
F# minor blues (3#), 4:0:0:0:1, 3:1:0:0:0, 4:0:1:0:2, 2:0:0:0:1, 5:0:0:0:1, 5:0:0:0:1, 4:1:0:0:2, 2:0:0:0:1, 4:1:0:0:0, 3:1:0:0:0, 4:0:1:0:2, 2:0:0:0:1, 5:0:0:0:1, 5:0:0:0:1, 2:1:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 3:1:0:0:1, 3:0:0:0:0, 2:0:0:0:0, 3:1:0:0:2, 3:0:0:0:1, 4:0:0:0:1, 3:1:0:0:0, 4:0:1:0:2, 2:0:0:0:1, 5:0:0:0:1, 5:0:0:0:1, 4:1:0:0:2, 2:0:0:0:0, 2:0:0:0:1, 4:1:0:0:0, 3:1:1:0:1, 6:1:0:0:2, 5:3:0:0:2, 2:0:0:0:0,  ,  , 3:0:1:0:2, 5:1:0:0:0, 5:0:1:0:2, 5:1:0:0:0, 4:1:1:0:3, 5:0:1:0:2, 3:1:1:0:2, 0:0:0:0:0, 2:0:0:0:0,  , 4:0:1:0:1, 2:0:0:0:1, 3:0:0:0:1, 6:1:1:0:1, 2:1:0:0:0, 4:2:0:0:1, 3:1:0:0:0,  , 2:0:1:0:2, 5:1:0:0:2, 3:1:0:0:0, 5:0:1:0:2, 3:1:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 200:27:13:0:55
Eb dorian (3b), 1:0:0:0:0, 1:0:0:0:0, 2:1:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:1:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 3:0:0:0:1, 2:0:0:0:1, 3:0:1:0:1, 1:0:0:0:0, 1:0:0:0:1, 1:0:1:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:1:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 3:0:0:0:0, 2:0:1:0:0, 1:0:0:0:0, 0:0:0:0:0,  ,  , 2:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 3:0:0:0:1, 2:0:0:0:0, 1:0:0:0:0, 1:1:0:0:1, 1:0:0:0:1, 4:1:0:0:3,  , 3:1:0:0:2, 1:0:1:0:0, 2:0:0:0:1, 4:0:0:0:1, 4:0:1:0:0, 1:0:0:0:0, 1:0:0:0:0,  , 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 0:0:0:0:0, 80:6:5:0:21
A dorian (3#), 4:0:0:0:1, 3:1:0:0:0, 4:0:1:0:2, 2:0:0:0:1, 5:0:0:0:1, 5:0:0:0:1, 4:1:0:0:2, 2:0:0:0:1, 4:1:0:0:0, 3:1:0:0:0, 4:0:1:0:2, 2:0:0:0:1, 5:0:0:0:1, 5:0:0:0:1, 2:1:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 3:1:0:0:1, 3:0:0:0:0, 2:0:0:0:0, 3:1:0:0:2, 3:0:0:0:1, 4:0:0:0:1, 3:1:0:0:0, 4:0:1:0:2, 2:0:0:0:1, 5:0:0:0:1, 5:0:0:0:1, 4:1:0:0:2, 2:0:0:0:0, 2:0:0:0:1, 4:1:0:0:0, 3:1:1:0:1, 6:1:0:0:2, 5:3:0:0:2, 2:0:0:0:0,  ,  , 3:0:1:0:2, 5:1:0:0:0, 5:0:1:0:2, 5:1:0:0:0, 4:1:1:0:3, 5:0:1:0:2, 3:1:1:0:2, 0:0:0:0:0, 2:0:0:0:0,  , 4:0:1:0:1, 2:0:0:0:1, 3:0:0:0:1, 6:1:1:0:1, 2:1:0:0:0, 4:2:0:0:1, 3:1:0:0:0,  , 2:0:1:0:2, 5:1:0:0:2, 3:1:0:0:0, 5:0:1:0:2, 3:1:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 200:27:13:0:55
