 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, rowcost
B minor blues (2#),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0+0:0:0:0:0
Bb dorian (2b),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0+0:0:0:0:0
D dorian (2#),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0+0:0:0:0:0
Bb phrygian (2b),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0+0:0:0:0:0
D phrygian (2#),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0+0:0:0:0:0
Bb lydian (2b),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0+0:0:0:0:0
D lydian (2#),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0+0:0:0:0:0
Bb mixolydian (2b),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0+0:0:0:0:0
D mixolydian (2#),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0+0:0:0:0:0
Bb aeolian (2b),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0+0:0:0:0:0
D aeolian (2#),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0+0:0:0:0:0
Bb locrian (2b),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0+0:0:0:0:0
D locrian (2#),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0+0:0:0:0:0
Eb major (3b), 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 4+2:2:0:0:2, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 4+2:2:0:0:2, 1+0:0:0:0:0, 2+1:0:0:0:0, 1+0:0:0:0:0, 3+1:1:0:0:0, 2+1:1:0:0:0, 3+2:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+2:0:0:0:0, 5+1:1:0:0:0, 2+0:0:0:0:0, 4+2:0:0:0:0, 5+2:0:0:0:0, 3+2:0:0:0:0, 2+1:0:0:0:0, 2+0:0:0:0:0, 3+4:0:0:0:0, 4+3:0:0:0:2, 2+1:0:0:0:0, 2+1:0:0:0:0, 10+6:0:0:0:0, 2+2:0:0:0:0, 6+3:0:0:0:0, 6+2:0:0:0:2, 3+0:0:0:0:0, 0+0:0:0:0:0, 8+3:0:0:0:0, 6+2:1:0:0:2, 3+3:0:0:0:0, 3+4:0:0:0:0, 3+1:0:0:0:0, 1+0:0:0:0:0, 4+1:0:0:0:0, 4+1:0:0:0:0, 5+4:1:0:0:1, 4+1:1:0:0:1, 2+0:0:0:0:0, 2+1:0:0:0:0, 1+0:0:0:0:0, 2+1:0:0:0:0, 2+0:0:0:0:0,  , 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+1:0:0:0:0, 3+0:0:0:0:0, 4+2:2:0:0:2, 1+0:0:0:0:0, 3+2:0:0:0:0, 4+2:0:0:0:0, 2+2:0:2:0:0, 3+1:0:0:0:0, 2+2:0:0:0:0, 2+1:1:0:0:1, 3+3:0:0:0:0, 3+1:0:0:0:0, 3+1:0:0:0:0, 2+0:0:0:0:0, 4+2:0:0:0:0, 1+0:0:0:0:0, 2+1:0:0:0:0, 4+2:0:0:0:0, 0+0:0:0:0:0, 3+1:0:0:0:1, 2+0:0:0:0:0, 3+1:0:0:0:0, 3+1:0:0:0:0, 3+3:0:0:0:0, 4+3:0:0:0:0, 5+3:0:0:0:0, 5+2:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+1:0:0:0:1, 3+3:0:0:0:0, 2+1:0:0:0:0, 3+2:1:1:0:1, 4+2:0:0:0:0, 4+1:0:0:0:0, 4+2:0:0:0:0, 8+5:1:0:0:1, 3+1:0:0:0:1, 2+1:0:0:0:0, 4+1:0:0:0:0, 4+1:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+2:0:0:0:0, 2+1:0:0:0:0, 3+2:0:0:0:2, 4+2:0:0:0:0, 6+5:0:0:0:2, 6+5:0:0:0:0, 5+4:0:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 5+2:0:0:0:0, 0+1:0:0:0:0,  , 1+0:0:0:0:0, 3+1:0:0:0:0, 3+1:0:0:0:0, 3+1:0:0:0:0, 4+1:0:0:0:0, 3+2:2:0:0:2, 4+1:0:0:0:0, 6+4:0:0:0:0, 5+2:0:0:0:1, 3+1:0:0:0:0, 2+2:0:0:0:0, 10+6:0:0:0:4, 2+2:0:0:0:0, 4+3:2:0:0:2, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+1:0:0:0:0, 1+0:0:0:0:0, 3+1:0:0:0:1, 4+1:0:0:0:0, 0+0:0:0:0:0, 392+175:19:4:0:37
A major (3#), 0+0:0:0:0:0, 2+3:0:0:0:0, 2+2:0:0:0:0, 2+2:0:0:0:0, 1+1:0:0:0:0, 3+3:0:0:0:0, 2+2:0:0:0:0, 2+3:0:0:0:0, 1+1:0:0:0:0, 3+1:0:0:0:0, 4+4:0:1:0:1, 2+1:0:0:0:0, 0+0:0:0:0:0, 2+3:0:0:0:0, 2+2:0:0:0:0, 2+2:0:0:0:0, 1+1:0:0:0:0, 3+3:0:0:0:0, 2+2:0:0:0:0, 2+3:0:0:0:0, 1+1:0:0:0:0, 3+1:0:0:0:0, 4+4:0:1:0:1, 2+1:0:0:0:0, 2+1:0:0:0:0, 2+2:0:0:0:0, 2+1:1:0:0:0, 1+1:0:0:0:1, 4+2:1:1:0:1, 3+1:0:0:0:0, 2+1:0:0:0:1, 3+5:0:0:0:0, 1+1:1:0:0:0, 2+3:0:0:0:0, 2+2:0:0:0:0, 5+3:0:0:0:0, 5+3:0:0:0:1, 3+4:0:0:0:0, 2+1:0:0:0:0, 2+2:0:0:0:1, 5+5:0:0:0:0, 3+4:0:0:0:0, 1+1:0:0:0:0, 10+7:0:0:0:0, 1+0:0:0:0:0, 8+6:0:0:0:2, 2+2:0:0:0:0, 2+3:0:0:0:0, 2+1:0:0:0:0, 6+5:0:0:0:0, 5+2:1:0:0:1, 5+3:0:0:0:0, 3+5:0:0:0:4, 5+2:0:0:0:0, 2+2:0:0:0:0, 4+1:0:0:0:0, 2+0:0:0:0:0, 6+4:1:0:0:0, 4+3:1:0:0:1, 2+1:0:0:0:0, 1+1:0:0:0:0, 3+2:0:0:0:0, 3+2:0:0:0:0, 3+2:0:0:0:0,  , 3+2:0:0:0:0, 1+2:0:0:0:0, 3+2:0:0:0:0, 1+0:0:0:0:0, 2+3:0:0:0:0, 4+4:2:0:0:2, 2+4:0:0:0:0, 2+2:0:0:0:0, 5+3:0:0:0:0, 5+2:1:0:0:1, 2+2:0:0:0:0, 5+4:0:0:0:0, 5+3:1:0:0:1, 2+3:0:0:0:1, 3+2:0:0:0:0, 2+1:1:0:0:0, 2+3:0:0:0:0, 2+4:0:0:0:0, 2+1:0:0:0:0, 3+1:0:0:0:0, 4+6:0:0:0:0, 2+4:0:0:0:0, 2+1:0:0:0:1, 3+1:0:0:0:0, 4+2:0:0:0:0, 2+1:0:0:0:1, 4+4:0:0:0:0, 3+3:3:0:0:0, 4+1:0:0:0:0, 4+2:0:0:0:0, 2+2:0:0:0:0, 3+1:0:0:0:0, 3+3:0:0:0:0, 3+2:0:0:0:0, 2+1:0:0:0:1, 2+0:0:0:0:0, 5+5:0:0:0:0, 6+3:0:1:0:2, 4+3:0:0:0:0, 2+0:0:0:0:0, 5+2:0:0:0:0, 5+6:1:2:0:3, 4+3:0:0:0:0, 2+1:0:0:0:0, 3+3:0:0:0:0, 4+2:0:0:0:1, 1+1:0:0:0:0, 2+0:0:0:0:0, 7+4:0:0:0:1, 4+3:0:0:0:0, 5+3:0:0:0:0, 6+2:0:0:0:0, 6+5:0:0:0:4, 4+5:0:0:0:0, 9+6:0:0:0:1, 1+3:0:0:0:0, 2+3:0:0:0:0, 4+2:0:0:0:1, 3+0:0:0:0:0,  , 3+2:0:0:0:0, 4+1:0:0:0:0, 3+6:0:0:0:0, 3+2:0:0:0:0, 2+1:0:0:0:0, 3+3:0:0:0:0, 3+2:0:0:0:0, 4+2:0:0:0:0, 5+4:0:0:0:2, 4+2:0:0:0:0, 3+2:0:0:0:0, 4+7:2:0:0:2, 3+5:0:0:0:0, 3+2:0:0:0:1, 2+1:0:0:0:0, 1+0:0:0:0:0, 2+1:0:0:0:0, 1+2:0:0:0:0, 2+2:0:0:0:0, 4+2:0:0:0:1, 3+1:0:0:0:0, 1+0:0:0:0:0, 437+340:17:6:0:42
C minor (3b), 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+2:0:0:0:0, 0+1:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+2:0:0:0:0, 3+2:1:1:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+2:0:0:0:0, 0+1:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+2:0:0:0:0, 3+2:1:1:0:1, 1+0:0:0:0:0, 2+1:0:0:0:0, 1+0:0:0:0:0, 3+1:1:0:0:0, 2+1:1:0:0:0, 3+2:0:1:0:2, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+2:0:0:0:0, 5+1:1:0:0:0, 2+0:0:0:0:0, 4+1:0:0:0:0, 5+2:0:0:0:0, 3+2:0:0:0:0, 2+1:0:0:0:0, 2+1:0:0:0:0, 3+2:0:0:0:0, 4+3:0:0:0:1, 2+2:0:0:0:0, 2+0:0:0:0:0, 10+6:0:0:0:0, 2+2:0:0:0:0, 6+5:0:0:0:0, 6+2:0:0:0:2, 3+0:0:0:0:0, 0+0:0:0:0:0, 8+3:0:0:0:0, 6+2:1:0:0:2, 3+3:0:0:0:0, 3+4:0:0:0:0, 3+1:0:0:0:0, 1+0:0:0:0:0, 4+1:0:0:0:0, 4+1:0:0:0:0, 5+4:1:0:0:1, 4+2:1:0:0:0, 2+0:0:0:0:0, 2+1:0:0:0:0, 1+0:0:0:0:0, 1+1:0:0:0:0, 2+0:0:0:0:0,  , 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+1:0:0:0:0, 3+0:0:0:0:0, 4+3:2:0:0:1, 1+0:0:0:0:0, 3+2:0:0:0:0, 4+2:0:0:0:0, 2+3:0:2:0:2, 3+1:0:0:0:0, 2+2:0:0:0:0, 2+3:1:0:0:1, 3+3:0:0:0:0, 3+1:0:0:0:0, 3+1:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 2+1:0:0:0:0, 4+2:0:0:0:0, 0+0:0:0:0:0, 3+1:0:0:0:1, 2+0:0:0:0:0, 3+1:0:0:0:0, 3+1:0:0:0:0, 3+3:0:0:0:0, 4+2:0:0:0:0, 5+1:0:0:0:1, 5+1:1:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+1:0:0:0:1, 3+3:0:0:0:0, 2+1:0:0:0:0, 3+2:1:1:0:1, 4+2:0:0:0:0, 4+1:0:0:0:0, 4+2:0:0:0:0, 8+5:1:0:0:1, 3+1:0:0:0:1, 2+1:0:0:0:0, 4+1:0:0:0:0, 4+1:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+2:0:0:0:0, 2+1:0:0:0:0, 3+2:0:0:0:2, 4+2:0:0:0:0, 6+5:0:0:0:2, 6+2:1:0:0:1, 5+5:0:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 5+2:0:0:0:1, 0+0:0:0:0:0,  , 1+1:0:0:0:0, 2+2:2:0:0:2, 3+1:0:0:0:0, 3+1:0:0:0:0, 4+0:0:0:0:0, 3+1:1:0:0:0, 4+1:0:0:0:0, 6+1:0:0:0:1, 5+2:0:0:0:1, 3+1:0:0:0:0, 2+0:0:0:0:0, 8+7:2:0:0:2, 2+1:0:0:0:0, 4+3:2:0:0:2, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+1:0:0:0:1, 4+1:0:0:0:0, 0+0:0:0:0:0, 386+175:22:6:0:37
